CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
113597;12/12/2022;FJV 3D37;BEIRA MINHO;114208;;DIESEL;84,19;;6,09;R$ 512,72;R$ 6,09;#REF!;#REF!;;;;;;;;;;;;
155717;02/01/2023;FZG 4F66;TATITA FERNÃO DIAS;363740;;DIESEL;31,25;;6,59;205,94;R$ 6,59;;;;;;;;;;;;;;
27201;03/01/2023;AXS 9G25;ULTRAMARINO;850567;;DIESEL;465,46;46,55;6,36;2913,78;R$ 6,26;;;;;;;;;;;;;;
246114;03/01/2023;CMR 5893;DOM PEDRO ITAPEVA;866635;;DIESEL;100,02;;6,19;619,12;R$ 6,19;;;;;;;;;;;;;;
511532;03/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;582523;;DIESEL;126,39;;6,09;769,72;R$ 6,09;;;;;;;;;;;;;;
155742;03/01/2023;FHI 8909;TATITA FERNÃO DIAS;313701;;DIESEL;66,56;;6,29;R$ 418,66;R$ 6,29;;;;;;;;;;;;;;
216808;03/01/2023;RMF 8H75;ULTRAMARINO;115217;;GASOLINA;16,85;;4,99;R$ 84,08;R$ 4,99;;;;;;;;;;;;;;
156046;04/01/2023;FSR 0H16;TATITA FERNÃO DIAS;72738;;GASOLINA;49,04;;4,99;244,71;R$ 4,99;;;;;;;;;;;;;;
364060;04/01/2023;FZG 4F66;POSTO ZÉ RAMOS;434347;;DIESEL;53,53;;6,09;R$ 326,00;R$ 6,09;#REF!;#REF!;;;;;;;;;;;;
270150;04/01/2023;OQG 0668;BEIRA MINHO;906556;;ARLA;36,96;;4,99;184,41;R$ 4,99;;;;;;;;;;;;;;
2770150;04/01/2023;OQG 0668;BEIRA MINHO;906558;;ARLA;36,96;;4,99;184,41;R$ 4,99;;;;;;;;;;;;;;
