Carimbo de data/hora;Data;Responsavél pelo abastecimento;Tipo;Placa;KM Atual;Quantidade de litros;Medidor do tanque atual;Soma do medidor + litros;Column 10;Quantidade atual tanque;;;;;;
2/5/2025 7:51:38;05/02/2025;Junior;Saída;NYF1166;811930;120;408482;;;2500;;;;;;
2/5/2025 8:58:03;05/02/2025;Junior ;Saída;FHI8909;394858;61;408543;408543;;2439;;;;;;
2/5/2025 12:07:23;05/02/2025;Junior ;Saída;PVD2450;729048;80;408623;408623;;2359;;;;;;
2/5/2025 14:23:48;05/02/2025;Junior;Saída;QMQ5351;459456;270;408893;408893;;2089;;;;;;
2/5/2025 14:45:18;05/02/2025;Junior ;Saída;FZG4F66;495492;17;408910;408910;;2072;;;;;;
2/5/2025 15:18:42;05/02/2025;Junior ;Saída;QPA8450;428657;170;409080;409080;;1902;;;;;;
2/5/2025 16:36:02;05/02/2025;Eduardo ;Saída;SYJ0E53;85152;135;409215;409215;;1767;;;;;;
2/5/2025 17:21:13;05/02/2025;Junior ;Saída;NYF1166;812051;45;409260;409260;;1722;;;;;;
2/5/2025 17:25:23;05/02/2025;Junior;Saída;FZG5A23;252924;103;409364;409363;;1619;;;;;;
2/5/2025 18:03:06;05/02/2025;Junior;Saída;BPQ3I53;230850;56;409420;409420;;1563;;;;;;
2/5/2025 18:07:17;05/02/2025;Junior ;Saída;SYN6C07;72361;14;409433;409434;;1549;;;;;;
2/5/2025 18:24:50;05/02/2025;Junior;Saída;TDP7I31;1176;158;409592;409591;;1391;;;;;;
2/6/2025 9:38:28;06/02/2025;Eduardo ;Saída;AXS9G25;1041267;517;410109;410109;;874;;;;;;
2/6/2025 13:27:22;06/02/2025;Junior;Saída;TCZ5G61;14849;211;410320;410320;;663;;;;;;
2/6/2025 13:49:38;06/02/2025;Junior;Saída;TCT6G13;29240;148;410468;410468;;515;;;;;;
2/6/2025 14:03:07;06/02/2025;Junior;Saída;PZE8684;474575;25;410493;410493;;490;;;;;;
2/6/2025 14:58:05;06/02/2025;Junior;Saída;HOB1G50;753044;130;410623;410623;;360;;;;;;
